lambda,alpha,iterations,theta_norm,train_MSE,test_MSE,train_R2,test_R2
0.01,0.01,10,122.14640691342639,235760.65849702872,282913.68652789335,-1.047650213840031,-0.6968683793368866
0.01,0.01,50,363.2107206985886,69735.30120824373,94446.91842496945,0.3943285307159978,0.43352337821471887
0.01,0.01,100,482.0900567044561,36789.98006954985,61383.67121360573,0.6804682722010057,0.6318311356078208
0.01,0.1,10,495.0974553815729,35068.39815324493,60095.50354181874,0.6954207142307234,0.6395573471473388
0.01,0.1,50,552.2681691468302,31434.435721389356,58927.21844977987,0.7269827398804333,0.6465645232760764
0.01,0.1,100,552.7834097507235,31420.267234991006,58874.79472082944,0.7271057973251669,0.6468789519241728
0.01,0.5,10,171343282.40356457,1.5297105602058454e+17,1.7052183729775536e+17,-1328598323267.7354,-1022761101620.2258
0.01,0.5,50,1.7708720587856388e+33,1.6339884633290686e+67,1.821460149272541e+67,-1.4191667293761306e+62,-1.0924809504463795e+62
0.01,0.5,100,3.281610343193178e+64,5.611108136245233e+129,6.254884959595535e+129,-4.873411386067575e+124,-3.751574070023333e+124
0.1,0.01,10,121.79283232176924,236027.03097330057,283334.98439371964,-1.0499637366367365,-0.6993952525877931
0.1,0.01,50,361.64445256847677,70120.330159418,95602.01073954874,0.39098444176056035,0.426595330130939
0.1,0.01,100,479.8814204315268,37088.46549394823,62383.57850917959,0.6778758390656648,0.6258338609868905
0.1,0.1,10,492.8389116697168,35334.28900431757,60993.6845623867,0.6931113744896154,0.6341702094961809
0.1,0.1,50,548.5007264581798,31672.269430622204,59464.270320671116,0.7249170846151587,0.6433433771061501
0.1,0.1,100,548.6173205129379,31659.351505704697,59433.69153635815,0.7250292805679878,0.6435267834758314
0.1,0.5,10,208009138.93970144,2.2544460504092214e+17,2.5131045892113066e+17,-1958052274979.9993,-1507317572271.5737
0.1,0.5,50,4.9998525936710625e+33,1.3025338422378718e+68,1.451976889654043e+68,-1.1312887050770896e+63,-8.708711486600186e+62
0.1,0.5,100,2.661034075487032e+65,3.689567724007244e+131,4.1128812890326786e+131,-3.20449738612175e+126,-2.4668365440276438e+126
1.0,0.01,10,118.51925731155241,238685.33976385492,287475.70547421253,-1.0730519253028707,-0.7242305963824784
1.0,0.01,50,350.57016127338414,75662.8868414725,107451.10779639604,0.3428457173118735,0.3555264526714683
1.0,0.01,100,467.1029687590488,43362.32732081044,74224.1047443417,0.6233855157298098,0.5548163898643881
1.0,0.1,10,479.8936621171765,41640.21068066043,72509.04463304403,0.638342601992381,0.5651030299603104
1.0,0.1,50,534.2100450696373,38464.83871813649,69591.76913383567,0.6659216354050558,0.5826003543533911
1.0,0.1,100,534.2172808476337,38464.83847003186,69591.80867889462,0.6659216375599171,0.5826001171688245
1.0,0.5,10,1184726907.835685,7.313262905541514e+18,8.152317124334226e+18,-63517825441554.5,-48896217487326.13
1.0,0.5,50,5.6053516987763655e+37,1.6371193756101724e+76,1.824950279147314e+76,-1.4218860181848687e+71,-1.0945742712386548e+71
1.0,0.5,100,3.911412342675236e+73,7.971532451766864e+147,8.88612680896391e+147,-6.923508881232143e+142,-5.329748370240831e+142
